,date,link,home,away,away_ML,home_ML,away_open,home_open
5041,20190324,/betting-odds/nba-basketball/3569041/odds/,Boston,San Antonio,+115,-135,+2,-2
5042,20190324,/betting-odds/nba-basketball/3569043/odds/,Golden State,Detroit,+110,-130,+12,-12
5043,20190324,/betting-odds/nba-basketball/3569044/odds/,L.A. Lakers,Sacramento,-110,-110,-3,+3
5044,20190325,/betting-odds/nba-basketball/3569046/odds/,Orlando,Philadelphia,+125,-145,-2½,+2½
5045,20190325,/betting-odds/nba-basketball/3569049/odds/,Memphis,Oklahoma City,-400,+325,-5½,+5½
5046,20190325,/betting-odds/nba-basketball/3569051/odds/,Utah,Phoenix,+175,-210,+15,-15
5047,20190325,/betting-odds/nba-basketball/3569053/odds/,Portland,Brooklyn,+185,-225,+6,-6
5048,20190326,/betting-odds/nba-basketball/3569055/odds/,Cleveland,Boston,-140,+120,-6,+6
5049,20190326,/betting-odds/nba-basketball/3569056/odds/,Charlotte,San Antonio,-155,+135,-3,+3
5050,20190326,/betting-odds/nba-basketball/3569060/odds/,Miami,Orlando,-145,+125,+5½,-5½
5051,20190326,/betting-odds/nba-basketball/3569058/odds/,Toronto,Chicago,+185,-225,+14,-14
5052,20190326,/betting-odds/nba-basketball/3569066/odds/,Minnesota,L.A. Clippers,+190,-230,-2,+2
5053,20190326,/betting-odds/nba-basketball/3569064/odds/,New Orleans,Atlanta,+130,-150,+1,-1
5054,20190326,/betting-odds/nba-basketball/3569062/odds/,Milwaukee,Houston,-130,+110,+3½,-3½
5055,20190326,/betting-odds/nba-basketball/3569068/odds/,Dallas,Sacramento,-130,+110,-2,+2
5056,20190326,/betting-odds/nba-basketball/3569070/odds/,Denver,Detroit,-165,+145,+7,-7
5057,20190326,/betting-odds/nba-basketball/3569072/odds/,L.A. Lakers,Washington,-140,+120,+1½,-1½
5058,20190327,/betting-odds/nba-basketball/3569074/odds/,Oklahoma City,Indiana,+290,-350,+6,-6
5059,20190327,/betting-odds/nba-basketball/3569076/odds/,Memphis,Golden State,-250,+210,-11½,+11½
5060,20190327,/betting-odds/nba-basketball/3569078/odds/,Chicago,Portland,-130,+110,-7,+7
5061,20190327,/betting-odds/nba-basketball/3569080/odds/,Phoenix,Washington,-130,+110,-1½,+1½
5062,20190327,/betting-odds/nba-basketball/3569082/odds/,Utah,L.A. Lakers,+400,-500,+13½,-13½
5063,20190328,/betting-odds/nba-basketball/3569086/odds/,Philadelphia,Brooklyn,+120,-140,+8,-8
5064,20190328,/betting-odds/nba-basketball/3569085/odds/,Detroit,Orlando,-175,+155,+3½,-3½
5065,20190328,/betting-odds/nba-basketball/3569088/odds/,New York,Toronto,-145,+125,-12,+12
5066,20190328,/betting-odds/nba-basketball/3569090/odds/,Miami,Dallas,+300,-360,+7½,-7½
5067,20190328,/betting-odds/nba-basketball/3569096/odds/,New Orleans,Sacramento,-320,+260,-2½,+2½
5068,20190328,/betting-odds/nba-basketball/3569092/odds/,Milwaukee,L.A. Clippers,+105,-125,+9,-9
5069,20190328,/betting-odds/nba-basketball/3569094/odds/,Houston,Denver,-155,+135,+4½,-4½
5070,20190328,/betting-odds/nba-basketball/3569098/odds/,San Antonio,Cleveland,+575,-850,+13,-13
5071,20190329,/betting-odds/nba-basketball/3569101/odds/,Boston,Indiana,+170,-200,+6½,-6½
5072,20190329,/betting-odds/nba-basketball/3569103/odds/,Atlanta,Portland,+120,-140,-3,+3
5073,20190329,/betting-odds/nba-basketball/3569108/odds/,Oklahoma City,Denver,+235,-275,+5,-5
5074,20190329,/betting-odds/nba-basketball/3569105/odds/,Minnesota,Golden State,-140,+120,-9½,+9½
